Callum Francis Parkinson,October 24  1996  Bolton  Lancashire ,21 years 166 days,Lancashire Cricket Academy ,,,Left-arm slow,Twin brother - ,
David Parsons,December 26  1967  Birmingham  Warwickshire ,50 years 103 days,,,,,Coach  Administrator,
David Joseph Parsons,October 28  1954  Accrington  Lancashire ,63 years 162 days,Cumberland ,,Right-hand bat,Left-arm medium-fast,,
Gordon James Parsons,October 17  1959  Slough  Buckinghamshire ,58 years 173 days,Boland ,,Left-hand bat,Right-arm medium,Coach,
Gerald R Parsons,January 26  1934  Devon ,84 years 72 days,Cornwall,,Right-hand bat,Right-arm offbreak,,
John Parsons,December 27  1834  Oxford ,,Middlesex,,Right-hand bat,,December 23  1912  Abingdon  Oxfordshire (aged 77 years 362 days) ,
Jack Parsons,February 28  1993 ,25 years 39 days,England Under-19s ,,Right-hand bat,Right-arm offbreak,,
John Henry Parsons,May 30  1890  Headington  Oxfordshire ,,Europeans (India) ,,Right-hand bat,Right-arm medium,February 2  1981  Plymouth  Devon (aged 90 years 248 days) ,
K Parsons,date unknown ,,,,,,Umpire,
Keith Alan Parsons,May 2  1973  Taunton  Somerset ,44 years 341 days,Cornwall ,Allrounder,Right-hand bat,Right-arm medium,Twin brother - ,
Kevin John Parsons,May 2  1973  Taunton  Somerset ,44 years 341 days,Somerset ,,Right-hand bat,,Twin brother - ,
Michael Parsons,November 26  1984  Taunton  Somerset ,33 years 133 days,Somerset ,,Right-hand bat,Right-arm medium-fast,Ladymead; Richard Huish College  Taunton,
Natalie Parsons,date unknown ,,Northamptonshire Women,,,,,
Stuart Matthew Parsons,March 4  1994  Reading ,24 years 35 days,Berkshire ,,Right-hand bat,,,
Thomas William Parsons,May 2  1987  Melbourne  Victoria  Australia ,30 years 341 days,Hampshire 2nd XI ,,Right-hand bat,Right-arm fast-medium,6 ft 3 in ,
Walter Dyett Parsons,June 26  1861  Southampton  Hampshire ,,Hampshire,,,,December 24  1939  East Wellow  Hampshire (aged 78 years 181 days) ,
Nitin Parsooth,October 1  1982  Luton  Bedfordshire ,35 years 189 days,Bedfordshire,,,,,
John Wesley Parton,January 31  1863  Wellington  Shropshire ,,Yorkshire,,,,January 30  1906  Rotherham  Yorkshire (aged 42 years 364 days) ,
Tony Parton,January 12  1967  Wellington  Shropshire ,51 years 86 days,Shropshire,,Left-hand bat,,Son - ,
Will Parton,December 31  1991  Telford ,26 years 98 days,Shropshire,,Left-hand bat,Right-arm offbreak,Father - ,
Brian John Macpherson Partridge,January 21  1956  Haddington  East Lothian  Scotland ,62 years 77 days,Oxford University,,Right-hand bat,Right-arm medium-fast,,
Cyril Partridge,August 2  1896  Higham Ferrers  Wellingborough  Northamptonshire ,,Northamptonshire,,Right-hand bat,,February 23  1945  Hanscombe End  Shillington  Bedfordshire (aged 48 years 205 days) ,
CA Partridge,date unknown ,,,,,,Umpire,
D Partridge,date unknown ,,,,,,Umpire,
Joy Eveleyn Partridge,1899  Lindridge Worcestershire ,,Buckinghamshire Women ,,Right-hand bat,Right-arm slow,April 27  1947 (aged 48 years) ,
Martin David Partridge,October 25  1954  Birdlip  Gloucestershire ,63 years 165 days,Gloucestershire,,Left-hand bat,Right-arm medium,,
Norman Ernest Partridge,August 10  1900  Great Barr  Staffordshire ,,Cambridge University ,,Right-hand bat,Right-arm medium-fast,March 10  1982  Aberystwyth  Cardigan  Wales (aged 81 years 212 days) ,
Reginald Joseph Partridge,February 11  1912  Wollaston  Northamptonshire ,,Northamptonshire,,Right-hand bat,Right-arm medium  Right-arm offbreak  Legbreak,February 1  1997  Northampton (aged 84 years 356 days) ,
Alfred William Parvin,December 31  1859  Southampton  Hampshire ,,Hampshire,,,,July 12  1916  Brighton  Sussex (aged 56 years 194 days) ,
Charles Henry Pascoe,December 23  1876  Haggerston  London ,,Essex,,,Slow left-arm orthodox,January 26  1957  Walthamstow  Essex (aged 80 years 34 days) ,
David Henry Pascoe,November 17  1968  St Ives  Cornwall ,49 years 142 days,Cornwall,,Right-hand bat,Right-arm medium,,
Arthur John Pashler,August 5  1921  Higham Ferrers  Wellingborough  Northamptonshire ,,Cambridgeshire,,Right-hand bat,Slow left-arm orthodox,February 11  2011  Higham Ferrers  Wellingborough  Northamptonshire (aged 89 years 190 days) ,
David Kent Pashley,May 24  1972  Stoke-on-Trent  Staffordshire ,45 years 319 days,Staffordshire,,Left-hand bat,,,
Graeme David Terence Paskins,June 1  1972  Southend-on-Sea  Essex ,45 years 311 days,Buckinghamshire,,Right-hand bat,,Son - ,
Nicholas Kenneth Albert Paskins,July 25  1995  Ascot  Berkshire ,22 years 257 days,Buckinghamshire ,,Right-hand bat,,Father - ,
Benjamin Richard Passenger,March 11  1976  Wimbledon  Surrey ,42 years 28 days,Devon,,Right-hand bat,Right-arm offbreak,,
Michael Francis William Passey,June 6  1937  Crossway Green  Worcestershire ,80 years 306 days,Worcestershire,,Right-hand bat,Right-arm offbreak,,
Greg C Passingham,date unknown ,,Timsbury Cricket Club,,,,,
George Passmore,August 5  1852  Yealmpton  Devon ,,Hampshire,,Right-hand bat,,Wicketkeeper,
Edwin Patchitt,1808  Nottingham ,,Nottinghamshire,,,,February 6  1888  Hastings  Sussex (aged 80 years) ,
Adam Patel,December 29  1985 ,32 years 100 days,Leeds/Bradford MCCU,,Right-hand bat,Right-arm offbreak,,
Akhil Patel,June 18  1990  Nottingham ,27 years 294 days,Derbyshire ,,Left-hand bat,Slow left-arm chinaman,Brother - ,
A Patel,date unknown ,,Warwickshire 2nd XI,,,,,
Anisha Patel,date unknown ,,Warwickshire Women,,,,,
Archit Patel,date unknown ,,Sussex 2nd XI ,,,,,
Anish Kirtesh Patel,May 26  1990  Manchester  Lancashire ,27 years 317 days,Leicestershire 2nd XI ,,Right-hand bat,Right-arm offbreak,,
Avish Rasiklal Patel,July 31  1994  Leicester ,23 years 251 days,Cambridge University,,,,Leicester Grammar School; Robinson College  Cambridge University,
Ashok Sitaram Patel,September 23  1956  Nairobi  Kenya ,61 years 197 days,Durham ,,Left-hand bat,Slow left-arm orthodox,,
Bhavesh Patel,March 15  1985  Derby ,33 years 24 days,Nottinghamshire Cricket Board,,Left-hand bat,Slow left-arm orthodox,,
B Patel,date unknown ,,Warwickshire 2nd XI,,,,,
Bhavika Nikisha Patel,October 20  1993  Leicester ,24 years 170 days,Leicestershire Women ,,Right-hand bat,Right-arm fast-medium,,
Chetan Morar Patel,April 12  1972  Islington  London ,45 years 361 days,Hampshire ,,Left-hand bat,Right-arm medium,,
Dipak Patel,August 28  1961  Mombasa  Kenya ,56 years 223 days,Cumberland,,Right-hand bat,Slow left-arm orthodox,,
Deon Patel,date unknown ,,Worcestershire 2nd XI ,,,,,
Depesh Balvant Patel,September 23  1981  Wolverhampton  Staffordshire ,36 years 197 days,Worcestershire ,,Right-hand bat,Right-arm medium,,
Harshad Vallabhbhai Patel,January 29  1964  Nairobi  Kenya ,54 years 69 days,Herefordshire ,,Right-hand bat,Right-arm offbreak,,
Kishor Patel,March 16  1982 ,36 years 23 days,Worcestershire Cricket Board,,Right-hand bat,,Wicketkeeper,
Kiran Patel,October 12  1979  Luton  Bedfordshire ,38 years 178 days,Bedfordshire,,Left-hand bat,Right-arm offbreak,,
Kushal Patel,date unknown ,,Middlesex 2nd XI ,,,,,
Kiah Patel,date unknown ,,Shropshire Women,,,,,
Kaushik Nardi Patel,October 8  1963  Nairobi  Kenya ,54 years 182 days,Staffordshire,,Left-hand bat,,,
Luke Adam Patel,October 6  1990  Wakefield West Yorkshire ,27 years 184 days,Durham MCCU,,Left-hand bat,Right-arm offbreak,,
M Patel,date unknown ,,Warwickshire 2nd XI,,,,,
Meera Patel,January 7  1999 ,19 years 91 days,Northamptonshire Women,,,,,
M Patel,date unknown ,,Worcestershire 2nd XI,,,,,
Minal Mahesh Patel,July 7  1970  Bombay (now Mumbai)  Maharashtra  India ,47 years 275 days,England ,,Right-hand bat,Slow left-arm orthodox,Dartford GS  Manchester Polytechnic,
Nitesh Patel,October 31  1989  Wordsley  Stourbridge  Worcestershire ,28 years 159 days,Herefordshire ,,Right-hand bat,Right-arm offbreak,5 ft 9 in ,
N Patel,date unknown ,,Bristol University,,,,,
Nemesh Girishchandra Patel,October 8  1976  Leicester ,41 years 182 days,Leicestershire Cricket Board,,Right-hand bat,Right-arm offbreak,,
Nalisha Kumari A Patel,March 18  1998  Bolton  Lancashire ,20 years 21 days,Lancashire Women ,,Right-hand bat,Right-arm slow,,
Primesh Patel,September 10  1991  Lambeth  Surrey ,26 years 210 days,Northamptonshire 2nd XI ,,Right-hand bat,Left-arm fast-medium,,
Pratik Dhirubhai Patel,November 27  1986  Southall  Middlesex ,31 years 132 days,Buckinghamshire ,,Right-hand bat,Right-arm medium,,
Ryan Patel,October 26  1997  Sutton  Surrey ,20 years 164 days,England Under-19s ,,Left-hand bat,Right-arm medium,,
Ravi Hasmukh Patel,August 4  1991  Harrow  Middlesex ,26 years 247 days,England Lions ,,Right-hand bat,Slow left-arm orthodox,,
Rishi Ketan Patel,July 26  1998  Chigwell  Essex ,19 years 256 days,Essex 2nd XI ,,Right-hand bat,Legbreak,Brentwood School,
Sachin Patel,December 11  1983  Wembley  London ,34 years 118 days,Middlesex Cricket Board,,Right-hand bat,,,
Sundeep Patel,January 10  1989  Leicester ,29 years 88 days,Leicestershire 2nd XI,,Left-hand bat,Slow left-arm orthodox,,
Sundeep Bhupendra Patel,January 10  1989  Leicester ,29 years 88 days,Kibworth ,,Left-hand bat,Slow left-arm orthodox,Sunny,
Samit Rohit Patel,November 30  1984  Leicester ,33 years 129 days,England ,Allrounder,Right-hand bat,Slow left-arm orthodox,Brother - ,
Sameer Satesh Patel,June 16  1976  Reading  Berkshire ,41 years 296 days,Berkshire,,Right-hand bat,Right-arm offbreak,,
Tikendra Patel,October 9  1965  Ahmedabad  Gujarat  India ,52 years 181 days,Oxford University,,Right-hand bat,Right-arm offbreak,,
Yasin Yonus Patel,April 15  1988  Preston  Lancashire ,29 years 358 days,Cumberland,,Right-hand bat,Legbreak,,
Matthew John Pateman,April 16  1985 ,32 years 357 days,Cambridgeshire,,,,,
Lloyd Christopher Paternott,January 15  1992  Watford  Hertfordshire ,26 years 83 days,Marylebone Cricket Club Universities ,Opening batsman,Right-hand bat,Right-arm medium,6 ft 0 in ,
Arthur William Sibbald Paterson,February 28  1878  Weston-super-Mare  Somerset ,,Somerset,,,,November 13  1937  Burnham  Somerset (aged 59 years 258 days) ,
Robert Fraser Troutbeck Paterson,September 8  1916  Stansted  Essex ,,Essex,,Right-hand bat,Right-arm medium,Wicketkeeper,
William Smoult Paterson,1819 ,,Marylebone Cricket Club,,,,June 8  1892  Kensington  London (aged 73 years) ,
Sarfraz Pathan,April 4  1977  Leicester ,41 years 4 days,Herefordshire,,Left-hand bat,,,
AJD Patmore,date unknown ,,Marylebone Cricket Club,,,,Wicketkeeper,
Benjamin John Patston,June 18  1985  Norwich  Norfolk ,32 years 294 days,Norfolk,,Right-hand bat,Legbreak googly,Wymondham College,
Edward Peter Pattenden,October 31  1842  Brighton  Sussex ,,Sussex,,Right-hand bat,,June 3  1879  Brighton  Sussex (aged 36 years 215 days) ,
Thomas Pattenden,January 5  1742  East Peckham  Kent ,,England ,,,,November 10  1791  East Peckham  Kent (aged 49 years 309 days) ,
William Pattenden,date unknown ,,Duke of Dorset's XI ,,,,1817  Hadlow  Kent ,
Greg Patterson,date unknown ,,Durham 2nd XI ,,,,,
John Irwin Patterson,March 11  1860  Royal Military College  Sandhurst  Berkshire ,,Kent ,,Right-hand bat,Slow left-arm orthodox,September 22  1943  Woking  Surrey (aged 83 years 195 days) ,
Steven Andrew Patterson,October 3  1983  Beverley Westwood Hospital ,34 years 187 days,Yorkshire ,,Right-hand bat,Right-arm medium-fast,Malet Lambert School; St Mary's Sixth Form College; Leeds University,
William Harry Patterson,March 11  1859  Royal Military College  Sandhurst  Berkshire ,,Kent ,,Right-hand bat,Right-arm medium  Right-arm slow (roundarm),Wicketkeeper,
William Seeds Patterson,March 19  1854  Mossley Hill  Liverpool  Lancashire ,,Cambridge University ,,Right-hand bat,Right-arm slow,October 20  1939  Hook Heath  Woking  Surrey (aged 85 years 215 days) ,
Liam A Patterson-White,November 8  1998  Sunderland  Co Durham ,19 years 151 days,Nottinghamshire 2nd XI,,Left-hand bat,Slow left-arm orthodox,,
Charles Patteson,November 11  1891  Upper Norwood  Surrey ,,Cambridge University,,Right-hand bat,,December 9  1957  Howden  Yorkshire (aged 66 years 28 days) ,
John Coleridge Patteson,April 1  1827  London ,,Oxford University,,,,September 20  1871  Nukan  Melanesia (aged 44 years 172 days) ,
Darren John Pattinson,August 2  1979  Grimsby  Lincolnshire  England ,38 years 249 days,England ,Bowler,Right-hand bat,Right-arm fast-medium,Brother - ,
Ian Pattison,May 5  1982  Ryhope  Sunderland  Co Durham ,35 years 338 days,Durham ,,Right-hand bat,Right-arm medium,,
Hoel Carlos Pattisson,September 5  1905  West Byfleet  Surrey ,,Free Foresters,,,,July 10  1979  Playden  Rye  Sussex (aged 73 years 308 days) ,
Walter Badeley Pattisson,August 27  1854  Witham  Essex ,,Kent,,Right-hand bat,,November 6  1913  Beckenham  Kent (aged 59 years 71 days) ,
Arthur George Paul,July 24  1864  Belfast  Ireland ,,Lancashire,,Right-hand bat,Right-arm slow,Wicketkeeper,
Dippayan Paul,date unknown ,,Marylebone Cricket Club Young Cricketers,,,,,
D Paul,date unknown ,,Kent 2nd XI,,,,,
Edwin Paul,September 21  1822  Holloway  London ,,Middlesex,,,,October 6  1858  Holloway  London (aged 36 years 15 days) ,
Edmund Parris Paul,February 4  1882  Taunton  Somerset ,,Somerset,,Right-hand bat,,Wicketkeeper,
Nigel Aldridge Paul,March 31  1933  Surbiton  Surrey ,85 years 8 days,DR Jardine's XI ,,Right-hand bat,Left-arm fast-medium,Cranleigh School  Surrey,
Richard Kenyon Paull,February 20  1944  Bridgwater  Somerset ,74 years 47 days,Cambridge University ,,Right-hand bat,Legbreak,,
Bernard Pauncefote,June 28  1848  Cuddalore  Madras  India ,,Middlesex ,,Right-hand bat,,Rugby School; Oxford University,
Duncan Ashley Paveling,June 8  1977  Bristol ,40 years 304 days,Essex Cricket Board,,Right-hand bat,,Wicketkeeper,
Kenneth Edwin Paver,October 4  1903  Dover  Kent ,,Hampshire,,,,November 20  1975  Ringwood  Hampshire (aged 72 years 47 days) ,
Roland George Lyall Paver,April 4  1950  Johannesburg  Transvaal  South Africa ,68 years 4 days,Oxford University,,Right-hand bat,,Wicketkeeper,
Clement Star Pavey,May 7  1859  Cheddar  Somerset ,,Marylebone Cricket Club,,,,November 13  1925  Taunton  Somerset (aged 66 years 190 days) ,
John Hanbury Pawle,May 18  1915  Widford  Hertfordshire ,,Cambridge University ,,Right-hand bat,,Brother-in-law - ,
Tom Edward Pawley,January 21  1859  Farningham  Kent ,,Kent,,Right-hand bat,Right-arm fast,August 3  1923  Canterbury West Railway Station  Kent (aged 64 years 194 days) ,
Sydney Southgate Pawling,February 6  1862  Wallingford  Berkshire ,,Middlesex,,Right-hand bat,Right-arm fast,December 23  1922  Eastbourne  Sussex (aged 60 years 320 days) ,
Arthur Clive Pawson,January 5  1882  Bramley  Leeds  Yorkshire ,,Oxford University,,Right-hand bat,,August 14  1969  Nynehead Court  Wellington  Somerset (aged 87 years 221 days) ,
Albert Guy Pawson,May 30  1888  Bramley  Leeds  Yorkshire ,,Oxford University ,,Right-hand bat,,Wicketkeeper,
Daniel James Pawson,December 31  1990  Bury  Lancashire ,27 years 98 days,Lancashire 2nd XI ,,Left-hand bat,,Wicketkeeper,
Henry Anthony Pawson,August 22  1921  Chertsey  Surrey ,,Kent ,,Right-hand bat,Right-arm offbreak,October 12  2012 (aged 91 years 51 days) ,
John Paxton,January 14  1819  Ilkeston  Derbyshire ,,North of England,,,,details unknown ,
Lauren Payas,date unknown ,,Northumberland Women,,,,,
Jonathan William Payn,September 6  1981  Durban  Natal  South Africa ,36 years 214 days,Leeds/Bradford MCCU,,Right-hand bat,,Wicketkeeper,
Payne,date unknown ,,Marylebone Cricket Club,,,,,
Alan Payne,date unknown ,,,,,,Umpire,
Albert Payne,June 26  1885  Leicester ,,Leicestershire,,Right-hand bat,,Wicketkeeper,
Alfred Payne,December 7  1831  Leicester ,,Oxford University,,Left-hand bat,Left-arm fast (roundarm),June 25  1874  Westminster  London (aged 42 years 200 days) ,
Alfred Payne,April 28  1858  East Grinstead  Sussex ,,Sussex,,Right-hand bat,,Wicketkeeper,
Andrew Payne,October 20  1973  Rossendale  Lancashire ,44 years 170 days,Somerset,,Right-hand bat,Right-arm medium,,
Arnold Cyril Payne,October 3  1897  Northampton ,,Northamptonshire,,Right-hand bat,,Wicketkeeper,
Alfred Ernest Payne,December 29  1849  Pentre Ucha  Oswestry  Shropshire ,,Marylebone Cricket Club,,,,June 30  1927  Pen-y-Nant  Ruabon  Denbighshire  Wales (aged 77 years 183 days) ,
Arthur Frederick Payne,December 7  1831  Leicester ,,Oxford University,,Right-hand bat,,July 23  1910  Brighton  Sussex (aged 78 years 228 days) ,
Alan Undy Payne,January 28  1903  Witney  Oxfordshire ,,Cambridge University,,Right-hand bat,Right-arm medium-fast,August 16  1977  Braintree  Essex (aged 74 years 200 days) ,
Charles Payne,May 12  1832  East Grinstead  Sussex ,,Kent ,,Right-hand bat,,Umpire,
Cecil Arthur Lynch Payne,August 30  1885  Dacca  India ,,Middlesex ,,Right-hand bat,Right-arm medium,Cousin - ,
Christopher John Payne,December 30  1947  Hatfield  Hertfordshire ,70 years 99 days,Middlesex ,,Right-hand bat,,Wicketkeeper,
Charles Richard Payne,December 20  1827  Hepworth  Suffolk ,,Cambridge University,,,,January 31  1859  Abu Simbel  Egypt (aged 31 years 42 days) ,
David Alan Payne,February 15  1991  Poole  Dorset ,27 years 52 days,Dorset ,,Right-hand bat,Left-arm fast-medium,Sid,
Graham Payne,date unknown ,,,,,,Umpire,
George Spencer Payne,March 25  1850  East Grinstead  Sussex ,,Sussex,,,,July 17  1892  East Grinstead  Sussex (aged 42 years 114 days) ,
Ian Roger Payne,May 9  1958  Kennington  London ,59 years 334 days,Gloucestershire ,,Right-hand bat,Right-arm medium,,
James Payne,date unknown ,,Lancashire,,,,,
John Brown Payne,July 1  1828  Knutsford  Cheshire ,,Manchester,,,,September 23  1887  Broughton  Manchester  Lancashire (aged 59 years 84 days) ,
John Henry Payne,March 19  1858  Broughton  Lancashire ,,Cambridge University ,,Right-hand bat,,Wicketkeeper,
Joseph Spencer Payne,April 29  1829  East Grinstead  Sussex ,,Kent ,,Right-hand bat,Left-arm medium (roundarm),April 12  1880  Greenwich  London (aged 50 years 349 days) ,
Michael John Payne,September 19  1990  Berkshire ,27 years 201 days,Buckinghamshire,,Right-hand bat,Right-arm slow,,
Meyrick Whitmore Payne,May 10  1885  Fulham  London ,,Cambridge University ,,Right-hand bat,Right-arm fast,Cousin - ,
Richard Payne,June 9  1827  East Grinstead  Sussex ,,Sussex,,Right-hand bat,Right-arm medium (roundarm)  Right-arm medium (underarm),April 11  1906  Tonbridge  Kent (aged 78 years 306 days) ,
Robert Adair Payne,date unknown ,,Oxford University,,,,,
Richard Bethune Tripp Selwyn Payne,September 18  1885  Rangoon  Burma ,,Somerset,,,,February 1  1949  Exmouth  Devon (aged 63 years 136 days) ,
T Payne,date unknown ,,England,,,,,
William Payne,August 6  1854  East Grinstead  Sussex ,,Sussex,,Right-hand bat,Right-arm medium,June 25  1909  East Grinstead  Sussex (aged 54 years 323 days) ,
William Thomas Payne-Gallwey,March 25  1881  Blackrock  Co Dublin  Ireland ,,Army ,,,Right-arm fast,September 14  1914  Vendresse  Troyon  France (aged 33 years 173 days) ,
David Edward Paynter,January 25  1981  Truro  Cornwall ,37 years 73 days,Northamptonshire ,,Right-hand bat,Right-arm offbreak,,
Edward Paynter,November 5  1901  Oswaldtwistle  Lancashire ,,England ,,Left-hand bat,Right-arm medium,February 5  1979  Keighley  Yorkshire (aged 77 years 92 days) ,
Albert Ivan Payton,January 20  1898  Stapleford  Nottinghamshire ,,Nottinghamshire,,Right-hand bat,Right-arm medium,September 27  1967  Sandiacre  Derbyshire (aged 69 years 250 days) ,
Wilfred Ernest Granville Payton,December 27  1913  Beeston  Nottinghamshire ,,Cambridge University ,,Right-hand bat,,September 4  1989  Ladder Hill  Nailsworth  Gloucestershire (aged 75 years 251 days) ,
Wilfred Richard Daniel Payton,February 13  1882  Stapleford  Nottinghamshire ,,Nottinghamshire,,Right-hand bat,,May 2  1943  Beeston Fields  Nottinghamshire (aged 61 years 78 days) ,
John Raphael Peacey,July 16  1896  Hove  Sussex ,,Sussex,,,,October 31  1971  Hurstpierpoint  Sussex (aged 75 years 107 days) ,
Charles William Peach,January 3  1900  Cale Hill  Kent ,,Kent,,Right-hand bat,Right-arm medium-fast,February 27  1977  Coxheath  Maidstone  Kent (aged 77 years 55 days) ,
Frederick George Peach,November 2  1882  Repton  Derbyshire ,,Derbyshire,,Right-hand bat,Legbreak,Wicketkeeper,
Herbert Alan Peach,October 6  1890  Maidstone  Kent ,,Surrey,,Right-hand bat,Right-arm medium,October 8  1961  North End  Newbury  Hampshire (aged 71 years 2 days) ,
Roy Alan Peach,October 19  1937  St Pancras  London ,80 years 171 days,Combined Services,,Right-hand bat,Right-arm medium,,
